racer_no,name,kana,branch,grade,era,birth_ymd,sex,age,height,weight,blood,win_rate,place_rate,avg_st,prev_grade,prev2_grade,prev3_grade,prev_ability_index,ability_index,year,season,period_from,period_to,training_term,birthplace,course1_entry_count,course1_place_rate,course1_avg_st,course1_avg_st_rank,course2_entry_count,course2_place_rate,course2_avg_st,course2_avg_st_rank,course3_entry_count,course3_place_rate,course3_avg_st,course3_avg_st_rank,course4_entry_count,course4_place_rate,course4_avg_st,course4_avg_st_rank,course5_entry_count,course5_place_rate,course5_avg_st,course5_avg_st_rank,course6_entry_count,course6_place_rate,course6_avg_st,course6_avg_st_rank
2504,國　浦　　英　徳,ｸﾆｳﾗ ﾋﾃﾞﾉﾘ,東京,B2,S,260117,1,64,153,53,A,3.73,16.2,0.23,B1,B1,B1,45.0,44.0,2016,1,20150501,20151031,31,鹿児島,10,30.0,0.22,3.9,15,0.0,0.24,4.7,11,27.3,0.21,4.0,1,0.0,0.35,6.0,1,0.0,0.19,6.0,1,0.0,0.27,5.0
2585,原　　　　由樹夫,ﾊﾗ ﾕｷｵ,岡山,B1,S,271121,1,63,161,51,O,4.84,26.8,0.19,B1,B1,B1,48.0,48.0,2016,1,20150501,20151031,33,岡　山,17,47.1,0.17,3.0,57,26.3,0.19,3.9,24,16.7,0.19,4.0,8,25.0,0.2,4.3,0,0.0,0.0,0.0,2,0.0,0.24,4.5
2781,鈴　木　　光　男,ｽｽﾞｷ ﾐﾂｵ,三重,B2,S,290226,1,61,159,50,A,3.03,7.1,0.2,B1,B1,B1,44.0,42.0,2016,1,20150501,20151031,40,三　重,13,23.1,0.18,3.1,15,13.3,0.22,5.1,14,0.0,0.2,4.4,10,0.0,0.22,3.9,12,0.0,0.19,4.6,6,0.0,0.2,4.8
2838,松　本　　　　功,ﾏﾂﾓﾄ ｲｻｵ,群馬,B1,S,310414,1,59,162,52,A,3.42,15.5,0.18,B1,B1,B1,43.0,42.0,2016,1,20150501,20151031,42,群　馬,13,53.8,0.17,3.0,16,31.3,0.18,3.6,21,0.0,0.16,3.0,18,5.6,0.19,3.4,17,5.9,0.19,3.8,5,0.0,0.18,4.8
2843,友　永　　明　夫,ﾄﾓﾅｶﾞ ｱｷｵ,福岡,B2,S,320409,1,58,164,53,A,2.48,4.0,0.21,B1,B1,B1,42.0,39.0,2016,1,20150501,20151031,42,福　岡,7,0.0,0.24,4.1,9,22.2,0.19,3.2,11,0.0,0.19,3.7,8,25.0,0.18,4.1,20,0.0,0.22,4.4,45,0.0,0.22,4.2
2850,小　松　　昇　司,ｺﾏﾂ ｼﾖｳｼﾞ,兵庫,B2,S,271009,1,63,169,54,A,2.79,11.1,0.22,B2,B1,B2,37.0,40.0,2016,1,20150501,20151031,43,兵　庫,13,38.5,0.21,4.5,22,0.0,0.24,4.8,18,11.1,0.2,4.4,11,9.1,0.2,4.5,6,0.0,0.21,4.3,2,0.0,0.2,3.0
2871,藤　田　　治　義,ﾌｼﾞﾀ ﾊﾙﾖｼ,山口,B2,S,310310,1,59,169,54,A,3.04,6.6,0.18,B2,B1,B2,42.0,42.0,2016,1,20150501,20151031,43,山　口,10,10.0,0.18,3.4,14,7.1,0.18,3.5,12,8.3,0.18,3.3,15,13.3,0.16,2.7,14,0.0,0.21,3.1,10,0.0,0.2,4.2
2904,河　野　　武　士,ｶﾜﾉ ﾀｹｼ,岡山,B1,S,340830,1,56,165,56,A,3.81,17.8,0.2,B1,B1,B1,46.0,44.0,2016,1,20150501,20151031,44,岡　山,14,35.7,0.23,3.9,20,15.0,0.21,4.6,17,23.5,0.19,3.9,16,18.8,0.2,4.3,24,12.5,0.18,3.8,11,0.0,0.18,2.8
2959,高　田　　悌　二,ﾀｶﾀﾞ ﾃｲｼﾞ,山口,B1,S,330418,1,57,165,55,O,4.43,24.1,0.2,B1,B1,B1,47.0,47.0,2016,1,20150501,20151031,47,山　口,9,33.3,0.2,4.3,10,40.0,0.23,4.1,10,30.0,0.18,2.9,9,0.0,0.2,3.3,10,20.0,0.17,3.4,10,20.0,0.22,4.0
3013,鈴　木　　敏　裕,ｽｽﾞｷ ﾄｼﾋﾛ,東京,B1,S,331217,1,57,161,54,A,4.73,29.5,0.21,B1,B1,B1,47.0,47.0,2016,1,20150501,20151031,49,神奈川,13,61.5,0.19,3.6,18,33.3,0.21,4.7,21,38.1,0.19,3.3,11,27.3,0.27,5.0,21,19.0,0.19,4.0,14,0.0,0.25,4.4
